Nama Makanan,Karbo,Gula,Lemak,Protein,Serat,Kolesterol,Sodium,Recommended (Yes/No)
nasi goreng,21.06,0.76,6.23,6.3,0.7,52,415,No
mie goreng,52,6,12,8,2,0,680,No
soto ayam,8.11,0.41,6.19,9.96,0.7,53,87,Yes
bakso,7.58,1.51,13.16,12.41,7.58,21,134,No
nasi campur,27.9,0.05,0.28,2.66,0.4,0,365,Yes
ayam goreng,10.76,0.26,14.55,21.93,1.4,57,350,Yes
gado/gado,10.9,1.84,7.41,7.14,2.9,78,126,Yes
rendang,4.49,1.31,11.07,19.68,4.49,29,184,No
nasi padang,70,0.05,15,70,0.4,0,228,No
nasi uduk,20.52,1.14,8.09,2.54,1,0,198,No
nasi kuning,20.86,0.39,0.17,1.89,0.4,0,550,Yes
sate ayam,4.87,1.99,14.82,19.54,4.87,49,355,No
sate kambing,4.81,1.97,14.06,18.93,1.8,40,359,No
nasi pecel,31.74,9.56,9.33,6.58,2,0,8,Yes
nasi krawu,32.24,1.68,,,,,,No
pempek,23.58,9.32,5.2,12.61,0.7,72.4,482,No
mie ayam,19.25,0.55,7.81,6.96,1,43.6,692.1,No
nasi liwet,25.94,0.51,2.72,2.74,1.2,29.8,315.4,Yes
nasi jagung,26.14,0.64,3.99,2.67,0.8,0,1.8,Yes
sambal goreng ati,10.15,1.25,,,,155.3,418.7,No
gulai ayam,3.33,0.16,12.4,11.94,0.9,83.2,609.4,No
gulai kambing,6.44,3.1,9.6,4.71,1,104.5,493.2,No
pepes ayam,1.33,0.07,12.25,21.92,0.5,58.7,312.5,No
sayur asem,5.38,1.98,1.15,1.32,1,0,202.3,Yes
tahu goreng,10.49,2.72,20.18,17.19,3.9,0,9.4,Yes
tempe goreng,1.79,0.03,13,15,2,0,14.8,No
ikan bakar,0.33,0.08,20,3,0,63.1,412.3,No
sayur lodeh,14.73,4.23,2,5,1.5,4.9,247.5,Yes
rawon,3.48,0.45,8,7,1,62.7,457.8,No
mie rebus / mie kuah,43,3,4,3,1,32.4,598.2,No
sayur bening bayam,3.2,1.5,2.5,0.5,2.1,0,52.4,Yes
sambal terasi,12,5.4,1.5,5,1.2,19.7,487.9,No
ayam kecap,8,4.5,15,10,1,82.5,713.6,No
capcay,7,2.5,4,2,2,10.2,198.4,Yes
opor ayam,4,1.5,12,10,0.5,97.3,506.2,Yes
sambal matah,6,2,1,6,0.8,0,402.1,Yes
sayur sop ayam,2.5,1,7,4,1.5,19.8,306.5,Yes
sayur bayam,3.6,1.2,2.5,0.5,2.1,0,49.3,Yes
lontong sayur,16,4,3,2,1,10.7,203.2,No
sambal goreng kentang,20,6,2,10,1,22.1,312.8,No
perkedel kentang,16.52,0.83,5,10,2,29.4,295.7,Yes
udang goreng,27.57,0.91,20,5,0,201.3,705.4,No
oseng/oseng mercon,10.67,1.33,7,10,1.5,52.6,491.2,Yes
sayur nangka muda,8.7,0,1.5,1,2.5,0,102.7,Yes
nasi goreng jawa,21.06,0.76,5,10,1.5,31.5,607.8,No
tongseng kambing,6.43,1.76,10,15,0.5,99.8,547.1,No
tongseng ayam,6.43,1.76,12,10,0.5,79.4,502.6,No
cah kangkung,3.99,0.51,2.5,1,2.5,0,97.4,Yes
ayam rica/rica,3.71,0.34,15,10,0.5,81.3,602.9,Yes
soto betawi,11.44,1.43,8,7,1,82.7,496.8,Yes
tahu kukus,1.93,0.96,4.34,7.97,0.1,0,63,Yes
ikan tongkol goreng,2.38,0.2,11.41,20.95,0.1,36,244,Yes
pepes ikan mas,0.16,0.02,4.63,13.21,0,46,191,Yes
