Nama Makanan,Karbo,Gula,Lemak,Protein,Serat,Kolesterol,Sodium,Recommended (Yes/No)
Mie Goreng,52,6,12,8,2,0,680,Not Recommended
Soto Ayam,8.11,0.41,6.19,9.96,0.7,53,87,Recommended
Bakso,7.58,1.51,13.16,12.41,7.58,21,134,Not Recommended
Nasi Campur,27.9,0.05,0.28,2.66,0.4,0,365,Recommended
Ayam Goreng,10.76,0.26,14.55,21.93,1.4,57,350,Recommended
Gado-gado,10.9,1.84,7.41,7.14,2.9,78,126,Recommended
Rendang,4.49,1.31,11.07,19.68,4.49,29,184,Not Recommended
Nasi Padang,70,0.05,15,70,0.4,0,228,Not Recommended
Nasi Uduk,20.52,1.14,8.09,2.54,1,0,198,Not Recommended
Nasi Kuning,20.86,0.39,0.17,1.89,0.4,0,550,Recommended
Sate Ayam,4.87,1.99,14.82,19.54,4.87,49,355,Not Recommended
Sate Kambing,4.81,1.97,14.06,18.93,1.8,40,359,Not Recommended
Nasi Pecel,31.74,9.56,9.33,6.58,2,0,8,Recommended
Pempek,23.58,9.32,5.2,12.61,0.7,72.4,482,Not Recommended
Mie Ayam,19.25,0.55,7.81,6.96,1,43.6,692.1,Not Recommended
Nasi Liwet,25.94,0.51,2.72,2.74,1.2,29.8,315.4,Recommended
Nasi Jagung,26.14,0.64,3.99,2.67,0.8,0,1.8,Recommended
Gulai Ayam,3.33,0.16,12.4,11.94,0.9,83.2,609.4,Not Recommended
Gulai Kambing,6.44,3.1,9.6,4.71,1,104.5,493.2,Not Recommended
Pepes ayam,1.33,0.07,12.25,21.92,0.5,58.7,312.5,Not Recommended
Sayur Asem,5.38,1.98,1.15,1.32,1,0,202.3,Recommended
Tahu Goreng,10.49,2.72,20.18,17.19,3.9,0,9.4,Recommended
Tempe Goreng,1.79,0.03,13,15,2,0,14.8,Recommended
Ikan Bakar,0.33,0.08,20,3,0,63.1,412.3,Not Recommended
Sayur Lodeh,14.73,4.23,2,5,1.5,4.9,247.5,Recommended
Rawon,3.48,0.45,8,7,1,62.7,457.8,Not Recommended
Mie Rebus / Mie Kuah,43,3,4,3,1,32.4,598.2,Not Recommended
Sayur Bening Bayam,7.64,2.82,0.37,1.79,1.4,0,162,Recommended
Sambal Terasi,12,5.4,1.5,5,1.2,19.7,487.9,Not Recommended
Ayam Kecap,8,4.5,15,10,1,82.5,713.6,Not Recommended
Capcay,7,2.5,4,2,2,10.2,198.4,Recommended
Opor Ayam,4,1.5,12,10,0.5,97.3,506.2,Recommended
Sambal Matah,6,2,1,6,0.8,0,402.1,Recommended
Sayur Sop Ayam,2.5,1,7,4,1.5,19.8,306.5,Recommended
Sambal Goreng Ati,5,3,1.5,1,2,0,670,Recommended
Lontong Sayur,16,4,3,2,1,10.7,203.2,Not Recommended
Sambal Goreng Kentang,20,6,2,10,1,22.1,312.8,Not Recommended
Perkedel Kentang,16.52,0.83,5,10,2,29.4,295.7,Recommended
Udang Goreng,27.57,0.91,20,5,0,201.3,705.4,Not Recommended
Oseng-Oseng Mercon,10.67,1.33,7,10,1.5,52.6,491.2,Recommended
Sayur Nangka Muda,8.7,0,1.5,1,2.5,0,102.7,Recommended
Pisang Goreng,36.07,16.96,13.27,1.47,2.6,0,607.8,Not Recommended
Tongseng,6.43,1.76,10,15,0.5,99.8,547.1,Not Recommended
Cah Kangkung,3.99,0.51,2.5,1,2.5,0,97.4,Recommended
Ayam Rica-Rica,3.71,0.34,15,10,0.5,81.3,602.9,Recommended
Soto Betawi,11.44,1.43,8,7,1,82.7,496.8,Recommended
Tahu Kukus,1.93,0.96,4.34,7.97,0.1,0,63,Recommended
Ikan Tongkol Goreng,2.38,0.2,11.41,20.95,0.1,36,244,Recommended
Pepes Ikan Mas,0.16,0.02,4.63,13.21,0,46,191,Recommended
Nasi Goreng,21.06,0.76,6.23,6.3,0.7,52,415,Not Recommended
Sushi,29.9,6.27,0.42,4.3,0.8,3,596,Not Recommended
Samosa,34.08,0.69,20.01,7.6,1.5,96,344,Not Recommended
Pizza,26.54,3.08,15.68,14.17,2,35,581,Not Recommended
Pav Bhaji,10,4,13,3,2,30,920,Recommended
Pakode,23,0,6,4,4,4,480,Not Recommended
Paani Puri,54.59,3.57,13.32,11.36,8.7,0,195,Not Recommended
Omelette,26.9,9.61,51.42,55.71,5.2,686,2570,Not Recommended
Momos,16.45,0.57,7.07,10.6,0.8,74,345,Recommended
Masala Dosa,27.34,0.77,7.31,3.76,2.6,0,647,Not Recommended
Kulfi,26.28,23.9,12.59,4,0.8,46,84,Not Recommended
Kadai Paneer,6.21,2.15,8.28,5.05,1.6,5,350,Recommended
Kaathi Rolls,0.16,0.02,4.75,13.33,0,46,191,Recommended
Jalebi,62.36,42.77,4.31,4.19,1,2,146,Not Recommended
Idli,26.31,0.74,0.62,6.36,5,0,691,Not Recommended
Ice Cream,24.4,22.3,10.72,3.52,0.7,40,74,Not Recommended
Dhokla,45.87,9.87,7.69,14.4,12.8,1,678,Not Recommended
Dal Makhani,20.49,3.29,8.77,6.78,7.1,20,243,Not Recommended
Chole Bhature,17.28,0.87,6.93,3.51,3.2,0,186,Recommended
Chicken Curry,4.74,2.07,6.67,11.47,0.9,35,484,Recommended
Cheesecake,25.5,0,22.5,5.5,0.4,55,207,Not Recommended
Chapati,32.5,0.65,1.55,5.84,1.2,3,138,Not Recommended
Chai,6.12,5.22,0.53,0.53,0.4,1,8,Recommended
Butter Naan,42.72,1.93,11.59,8.49,1.6,30,323,Not Recommended
Burger,32.31,6.32,9.22,11.62,0,28,504,Not Recommended
Apple Pie,37.1,0,12.5,2.4,0,46,211,Not Recommended
Taquito,19.02,0.83,12.63,14.49,2.9,39,511,Recommended
Taco,15.63,0,12.02,12.08,0,33,469,Recommended
Sandwich,17.76,0,13.3,10.69,0,199,551,Recommended
Hot Dog,18.4,0,14.84,10.6,0,45,684,Recommended
Fries,24,0,3,2,1,0,55,Recommended
Donut,48,23.37,31,5,2,61,429,Not Recommended
Crispy Chicken,16,0,17,28,0,85,740,Recommended
Baked Potato,21,1.17,0.13,2.48,2.2,0,277,Not Recommended
Tea,0.32,0,0,0.01,0,0,3,Recommended
Coffee,0.04,0,0.02,0.12,0,0,2,Recommended
Lemon Tea,36,34,0,0,0,0,0,Recommended
Matcha,17,15,1,1,0,0,15,Recommended
Mango Juice,27,23,0,0,0,0,0,Not Recommended
Orange Juice,25,24,0,0,1,0,0,Recommended
Avocado Juice,12.88,8.64,8.81,1.9,3.6,3,18,Recommended
Soursop Juice,25,22,1.4,2.8,3.4,4.4,42,Recommended
Dragon Juice,15.63,15.29,0.07,0.4,0.2,0,7,Recommended
Thai Tea,36,25,6,3,0,0,160,Not Recommended
Bubble Milk Tea,27,25,6,0.4,0,0,8,Not Recommended
Ale - Ale,14,13,0,0,0,0,55,Not Recommended
Yogurt,7.04,7.04,1.55,5.25,0,6,70,Recommended
Milk,4.71,5.16,2,3.29,0,7,41,Not Recommended
Chocolate Milk,11.55,9.61,2.1,3.08,0.7,8,62,Not Recommended
Cappuccino,2.42,2.67,1.66,1.7,0.1,5,21,Not Recommended
Mineral Water,0,0,0,0,0,0,2,Recommended
Iced Tea,9.89,9.63,0,0.01,0,0,3,Not Recommended
Vanilla Ice Cream,23.6,21.22,11,3.5,0.7,44,80,Not Recommended
Chocolate Ice Cream,28.2,25.36,11,3.8,1.2,34,76,Not Recommended
Tomato Juice,4.24,3.56,0.05,0.76,0.4,0,269,Recommended
Bir,3.55,0,0,0.46,0,0,4,Not Recommended
Fanta,12,11,0,0,0,0,0,Not Recommended
Coca-Cola,27,27,0,0,0,0,15,Not Recommended
Oatmeal,18.22,6.58,1.2,2.46,1.9,0,122,Recommended
Kencur Rice Herb,19.14,9.57,0.41,0.92,0.8,0,3,Recommended
